country,country_code,region,income_group,year,population_total,population_female,population_male,population_growth_pct,urban_population_pct,fertility_rate,age_dependency_ratio_pct,gdp_current_usd,gdp_per_capita_usd,gdp_growth_pct,gdp_per_capita_ppp,inflation_consumer_pct,investment_gdp_pct,unemployment_total_pct,unemployment_female_pct,unemployment_male_pct,employment_total_pct,labor_force_participation_pct,life_expectancy_total,life_expectancy_female,life_expectancy_male,infant_mortality_rate,school_enrollment_tertiary_pct,internet_users_pct,mobile_subscriptions_per_100,co2_per_capita,renewable_energy_pct,exports_gdp_pct,imports_gdp_pct
Chile,CHL,Latin America & Caribbean ,High income,2019,19197744.0,9648587.0,9549157.0,1.59911795256016,88.1273685623538,1.43,44.9884626222266,278308438545.118,14496.9345640362,0.644223402631923,25613.9095717623,2.55754475703327,24.5476232011073,7.493,8.226,6.958,58.346,63.072,80.324,82.549,78.098,6.0,92.0659713745117,85.01760101,130.492770400522,4.96139546396702,25.3,27.8723266080413,29.7345891776124
China,CHN,East Asia & Pacific,Upper middle income,2019,1407745000.0,688332681.0,719412319.0,0.354740890170827,62.7099151611328,1.496,43.3873633674887,14560167101283.4,10342.9009524335,6.06737806333672,17600.8907568493,2.89923416358227,42.2503490502374,4.56,3.961,5.05,64.307,67.38,77.94,80.747,75.303,6.0,56.6050917923292,64.080881297515,122.670391850252,8.39147587098516,14.3,18.1398222864053,17.3146127417354
Colombia,COL,Latin America & Caribbean ,Upper middle income,2019,49907985.0,25243941.0,24664044.0,1.78615507724394,77.4595528518377,1.71,43.4989256841647,323031701192.84,6472.54544924705,3.18685539245533,16181.5908990662,3.52301932741447,21.269107264817,10.28,13.134,8.249,57.709,64.322,76.793,79.695,73.907,12.3,56.6663017272949,65.0069007159493,132.810761644655,1.72438739011403,31.5,15.8680386541241,21.6904953267149
Comoros,COM,Sub-Saharan Africa ,Lower middle income,2019,786578.0,390897.0,395681.0,1.92385702700328,31.7287584068243,4.138,75.5037562781275,1195019531.9011,1519.26386436068,1.76078023564568,3312.74957050545,3.58213544469211,12.6281735143297,3.926,4.533,3.495,50.274,52.328,65.662,67.683,63.792,39.8,,16.38380051,73.1291747290161,0.287320520024715,55.3,12.7734606325226,29.4946179024958
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Low income,2019,92947442.0,46842742.0,46104700.0,3.1695285579572,42.8747090907476,6.253,96.3517973179656,46845900350.0332,504.00419142286,0.555384294580819,1056.17206659241,,22.2993438450818,4.605,3.696,5.451,61.335,64.296,60.242,62.153,58.358,56.5,,13.02970028,39.9399996397964,0.0478324083410493,96.3,28.4657291929772,32.448623181302
"Congo, Rep.",COG,Sub-Saharan Africa ,Lower middle income,2019,5616661.0,2808099.0,2808562.0,2.40634419722279,63.5176376123385,4.38,80.7333447887284,13976637779.9763,2488.42466724916,1.12447391976529,5719.59977338291,2.20607305781525,26.1155301471499,20.494,21.815,19.22,54.159,68.119,63.152,64.633,61.708,33.2,,16.11639977,91.0654212529473,1.28891524697681,69.8,56.1988143702835,35.3769404227539
Costa Rica,CRI,Latin America & Caribbean ,High income,2019,4999553.0,2525255.0,2474298.0,0.838278384859255,77.0435864735963,1.6,45.422348705756,64753504730.018,12951.8588421841,2.70813912948329,23461.2875330597,2.09604635327807,16.469032995155,10.807,14.059,8.472,57.318,64.263,80.296,82.963,77.603,7.9,55.0202903747559,81.2025964435269,144.514079558713,1.63874650393745,33.4,34.1472985859666,31.2721746627109
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Lower middle income,2019,28193009.0,13779108.0,14413901.0,2.61916841176218,51.3514799771241,4.523,81.1143931066958,60382894697.3557,2141.76836170115,6.72137167584978,5516.39055126829,0.790855512053661,22.1766481096146,2.401,3.019,1.949,63.131,64.684,60.274,62.295,58.493,51.8,10.3256981639741,36.2889545655205,132.574011521792,0.467605284700189,61.1,22.6604887650452,21.9999218180343
Croatia,HRV,Europe & Central Asia,High income,2019,3949390.0,2047101.0,1902289.0,-0.992302961069294,56.303247958306,1.47,55.5626368276391,61467261345.012,15563.7354996625,3.10247285336254,33063.9987060793,0.771820346498112,21.9101737515026,6.551,7.061,6.114,47.536,50.868,78.2243902439024,81.4,75.2,4.0,74.0501174926758,79.0797836757554,110.493802074789,4.5506268056586,31.6,50.4917495355699,50.9033621097876
Cuba,CUB,Latin America & Caribbean ,Upper middle income,2019,11202846.0,5656039.0,5546807.0,-0.216424863402489,77.0728225708008,1.54,45.6054628733426,103427600000.0,9232.26115935183,-0.163087223606624,,,11.211707513275,1.705,1.824,1.623,54.332,55.275,77.413,79.913,75.0,5.4,44.7791807576091,67.9708086565152,53.9383385257639,1.98985150737589,23.1,12.2133743797594,10.6075167556822
Curacao,CUW,Latin America & Caribbean ,High income,2019,157441.0,81906.0,75535.0,-1.19643951751799,91.3714918191305,1.6,44.1608980698092,3026124134.07821,19220.6866958303,-3.20613230348162,25396.9967729561,2.62220783425059,,,,,,,76.492,80.573,72.237,,,,97.200107627293,,2.5,,
Cyprus,CYP,Europe & Central Asia,High income,2019,1286671.0,637642.0,649029.0,1.24612155650882,66.7677357070518,1.33,41.4645489568307,26196660680.1176,29227.16796875,5.87559583386607,44393.72265625,0.250370996758493,18.6839198824146,7.155,8.124,6.354,61.382,66.112,81.454,83.633,79.317,2.5,93.9260711669922,86.0636299618935,137.76052748227,5.60889302704421,12.0,75.7588643662806,74.747298763229
Czechia,CZE,Europe & Central Asia,High income,2019,10671870.0,5412760.0,5259110.0,0.393788864202175,72.7876426709563,1.71,55.9088220310965,256794209028.77,24062.7190013343,3.56577658128261,45614.0171132532,2.84787595918041,25.7720455320028,2.015,2.378,1.724,58.906,60.118,79.2292682926829,82.2,76.4,2.4,66.8802185058594,80.8669444139622,124.126150238634,9.72456561033821,15.9,72.1248511386482,66.0297588552233
Denmark,DNK,Europe & Central Asia,High income,2019,5814422.0,2921554.0,2892868.0,0.358130915892652,88.2096490810669,1.7,56.5999643406769,345401473012.615,59404.2663247723,1.71140093932736,60594.966400191,0.75813157251162,21.3534089903591,5.018,5.269,4.795,59.311,62.445,81.4512195121951,83.5,79.5,3.3,81.6945877075195,98.0464347521549,124.573359763273,5.17323991963432,37.2,58.9506079167167,52.9408671489359
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,1088709.0,548432.0,540277.0,1.55766086478885,71.7418146554518,2.798,56.2039889293652,3088851450.30694,2837.16902340932,5.54508081154978,5398.00036773984,3.31763203299603,29.7952101352966,26.257,36.044,22.168,23.565,31.955,64.381,66.863,61.968,50.2,,58.4762001,38.0143821719119,0.765677513458601,23.4,166.717864481384,154.221365882795
Dominica,DMA,Latin America & Caribbean ,Upper middle income,2019,67880.0,33828.0,34052.0,-0.432182012456847,71.4382284948964,1.504,45.2600042799058,644259259.259259,9491.14995962374,3.94809757938053,16020.5944720217,1.50462353858141,,,,,,,71.305,74.508,68.564,30.6,,73.38200378,115.103123158515,1.26988803771361,7.6,,
Dominican Republic,DOM,Latin America & Caribbean ,Upper middle income,2019,10894043.0,5467622.0,5426421.0,1.0333133463082,73.5403464672933,2.366,52.7342819533255,89146130744.723,8183.01623600375,4.8940301149584,19766.7628586981,1.81060377042959,24.9843138217951,6.356,9.602,4.117,61.045,65.189,73.112,76.448,69.898,30.9,,79.71549988,82.1376141070859,2.61257459696093,14.4,23.325332586795,27.587649613902
Ecuador,ECU,Latin America & Caribbean ,Upper middle income,2019,17340021.0,8678162.0,8661859.0,1.68935479627168,63.0627139714638,2.035,52.1307937287794,107595830000.0,6205.05765246766,0.1654044646003,12543.0148243925,0.266012515466155,20.6549277978524,3.812,4.593,3.259,63.656,66.179,77.286,79.975,74.61,11.7,47.2627814012203,59.2,91.4249181128443,2.41784020907472,17.7,24.0486345985713,24.0342148947594
"Egypt, Arab Rep.",EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2019,107553158.0,53247874.0,54305284.0,1.75497438173801,42.4812027332648,2.87,62.1682059377755,318678815489.749,2962.98892023003,5.55209307084222,13363.732696323,9.15279959324804,18.7723373838456,7.851,21.312,4.747,38.885,42.199,71.213,73.415,69.041,22.9,33.622825887244,57.2828663990195,88.6447815879102,2.20383858928624,6.2,16.6440314510365,24.4799857040743
El Salvador,SLV,Latin America & Caribbean ,Upper middle income,2019,6222318.0,3264290.0,2958028.0,0.0403628806830014,72.4148941040039,1.838,52.2097784509694,26881140000.0,4320.11671534627,2.43747159065784,9756.7521864595,0.0753241350024612,17.7597006674568,4.17,4.384,4.019,57.39,59.887,71.725,75.979,67.1,10.6,28.5178063545936,50.4911940673888,167.088631599992,1.30285851671355,19.4,29.9559096080003,46.0861034911466
Equatorial Guinea,GNQ,Sub-Saharan Africa ,Upper middle income,2019,1670177.0,785324.0,884853.0,3.271454421427,70.1175419547293,4.429,70.7256912891081,11364133549.7478,6804.14923073888,-5.48182537893445,16451.3641478324,1.53027528964189,11.3929818569737,7.917,8.765,7.351,56.353,61.198,62.297,64.144,60.674,55.7,,49.13370132,36.942192354463,3.0669803260373,7.4,51.1307495482003,43.7480428771542
Eritrea,ERI,Sub-Saharan Africa ,Low income,2019,3240194.0,1643512.0,1596682.0,1.47474580694345,35.2352333068848,3.997,82.0125109257141,,,,,,,5.812,6.433,5.241,73.832,78.388,67.306,69.36,65.174,28.7,,11.22379971,40.4605403256719,0.207888786905969,80.6,,
Estonia,EST,Europe & Central Asia,High income,2019,1326898.0,699376.0,627522.0,0.371554389037477,69.5787397662154,1.66,57.0635499327664,31873748770.0313,24021.2501413306,3.72664943466884,40586.3784378888,2.27725931243522,26.6153386918257,4.514,4.926,4.125,60.31,63.161,78.6463414634147,83.0,74.5,1.9,72.7060317993164,90.2289281997919,147.04692867619,11.6534202327534,31.3,72.0191543549198,68.3329936436289
